Kaynarca 2024 Profesyonel Su Bütçesi Modeli - Yöntem ve Kaynak Haritası,,,,,,
"Bu sayfa Sazlıca dosyasındaki anlatım mantığı referans alınarak genişletildi. Hocanın aylık su bütçesi, efektif yağış, kayıp zinciri, karma sulama, ET0 ve açıklama beklentileri tek yerde görünür hale getirildi.",,,,,,
Başlık,Açıklama,Kullanılan formül / mantık,Ana kaynak,İlgili sayfa,Not,Durum
Gözlenen verim,Gözlenen verim ton/da,Verim = Üretim (ton) / Alan (da),2024-KAYNARCA.xlsx,3_Urun_Referans,Mevcut durum performansı,Tamam
Ağaç/fide sayısı,Dekara bitki adedi,Bitki adedi/da = 1000 / (sıra arası × sıra üzeri),Teknik varsayım + ürün tipi,3_Urun_Referans,Ağaç/fide yoğunluğu ve bitki başı su,Tamam
Aylık ETc,Her ay için bitki su tüketimi,ETc_ay = ET0_proxy_ay × Kc_ölçekli_ay,Niğde 2024 + ürün ETc referansı,4_Urun_Aylik_SuButcesi,Yıllık ETc ay bazına dağıtıldı,Tamam
Efektif yağış,Bitkinin kullanabildiği yağış kısmı,"Efektif yağış = 0,80 × aylık yağış",Meteoroloji verisi + hoca notu,1_Meteoroloji_2024 / 4_Urun_Aylik_SuButcesi,"min(aylık ETc, 0,80×yağış)",Tamam
Net sulama,Kök bölgesine verilmesi gereken su,"Net = MAX(ETc − Efektif yağış, 0)",Aylık su bütçesi,4_Urun_Aylik_SuButcesi,Aylık bazda hesaplandı,Tamam
Tarla içi randıman,Uygulama yöntemine bağlı verim,"Damla=0,90; Yağmurlama=0,75; Karık=0,60",Hoca notu + teknik kabul,2_Randiman_Katsayi,Kayıp zinciri ayrı gösterildi,Tamam
İletim randımanı,Şebeke/iletim kayıpları,"Açık şebeke=0,85; Kapalı şebeke=0,95",Hoca notu + teknik kabul,2_Randiman_Katsayi,Açık/kapalı sistem farkı görünür,Tamam
Toplam randıman,Toplam sistem verimi,Toplam = iletim × tarla içi randıman,Randıman ayrımı,2_Randiman_Katsayi / 3_Urun_Referans,Brüt çekiş buradan hesaplanır,Tamam
Brüt şebeke çekişi,Şebekeden fiilen çekilecek su,Brüt = Net / Toplam randıman,Ürün ve yöntem bazlı,4_Urun_Aylik_SuButcesi / 16_Aylik_Kayip_Analizi,Aylık ve yıllık verildi,Tamam
Karma sulama yöntemi,Aynı parselde birden fazla yöntem,Ağırlıklı tarla içi randıman = Σ(oransal pay × yöntem randımanı),Hoca notu,8_Karma_Sulama_Senaryo,%30/%40/%30 örnekleri verildi,Tamam
Parsel proxy mantığı,Her aktif ürün alanı temsilî parsel gibi ele alındı,Proxy parsel = aktif ürün satırı,Ham alan+üretim verisi,5_Parsel_Proxy,Gerçek kadastral parsel değil,Tamam
Fiyat / kâr şablonu,Bu yılın fiyatı girildiğinde gelir odaklı kıyas,Potansiyel gelir = üretim × fiyat,Hoca notu + kullanıcı girişi,20_Fiyat_Kar_Senaryo,Su bütçesini değiştirmez,Tamam
Gelecek ET0/yağış senaryosu,İleride farklı iklim girdisi denenebilmesi,Yeni ET0/yağış girilirse aylık bütçe güncellenir,Hoca notu,17_Gelecek_ETo_Yagis_Girdi / 21_Penman_Monteith_ET0_Bilgi,"Şablon hazır, veri girilmedi",Kısmen
"Toprak, sulama arzı ve alan denge kontrolü","Toprak yorumu, sulu-kıraç denge, devlet-halk sulaması ve ekilmeyen alan farkı tek sayfada toplandı.",Ham arazi dağılımı + parsel proxy + oran hesabı,2024-KAYNARCA.xlsx / 15 ve 22. sayfalar,22_Toprak_Su_Arz_Detayi,Toprak sayısal değil nitel; alan kısmı sayısal,Tamam
Kuru blok ve yöntem değişirse alan etkisi,Buğday+arpa kuru blok olarak ayrıldı; yöntem iyileşirse aynı suyla kaç da ek alan sulanabileceği hesaplandı.,Tasarruf edilen brüt su / m³-da,"15, 23 ve 8. sayfalar",23_SuluSusuz_ve_Alan_Etkisi,Hocanın ana mantığı görünür oldu,Tamam
DETAYLI AÇIKLAMA VE KULLANILAN FORMÜLLER,,,,,,
"Bu blok, dosyanın tamamında kullanılan ana hesap zincirini açıklar. Hocanın notlarında vurgulanan aylık su bütçesi, efektif yağış, sulama randımanı, açık/kapalı şebeke, parsel bazlı öneri ve geleceğe dönük ET0 senaryo mantığı bu metodoloji üzerine kurulmuştur.",,,,,,
Başlık / sütun grubu,"Bu veri neyi ifade eder, nereden alındı?",Kullanılan kaynak / dosya,Formül / hesap mantığı,Bu bilgi neden gerekli? / kontrol ve sınır,,
Sayfanın amacı,,,,,,
Gözlenen verim,Mevcut durum verimi ürünün 2024 yılında Kaynarca'da gözlenen performansını verir. Sonraki kıyaslamalarda ve su verimliliği tablolarında temel referanstır.,2024-KAYNARCA.xlsx içindeki alan ve üretim değerleri,Gözlenen verim (ton/da) = Üretim (ton) / Alan (da),Bir ürünün üretim potansiyelini suyla birlikte yorumlamak için önce birim alan verimini bilmek gerekir.,,
Bitki yoğunluğu ve ağaç/fide sayısı,"Her üründe sıra arası ve sıra üzeri değerlerinden bir bitkinin kapladığı alan ve dekara düşen bitki sayısı türetildi. Meyve ağaçlarında ağaç sayısı, sebzelerde fide yoğunluğu bu yolla gösterildi.",Teknik ürün bilgileri + hoca notu,Alan_m2/bitki = sıra arası × sıra üzeri; Bitki adedi/da = 1000 / alan_m2_bitki,Bitki başına yıllık net ve brüt suyu görmek için gereklidir.,,
