Bor İlçe Merkezi 2024 Profesyonel Parsel-Ürün Su Kotası Modeli - Güncellenmiş Yöntem,,,,,,
"Bu sürüm, hocanın aylık su bütçesi, efektif yağış, iletim ve tarla içi randıman ayrımı, karma sulama, ekilmeyen alan düşümü, sulu-kıraç denge ve ET0/Penman-Monteith notlarını Bor İlçe Merkezi verisi üzerinde şeffaf biçimde birleştirir.",,,,,,
Başlık,Açıklama,Kullanılan formül / mantık,Ana kaynak,İlgili sayfa,Not,Durum
Kimlik ve bağlam,"Bor İlçe Merkezi; nüfus, rakım, mahalle yapısı ve yerleşim bilgisi bağlam için kullanıldı.",Ham bilgi; sayısal su hesabına doğrudan girmez.,2024-İLÇE MERKEZİ.xlsx / KİMLİK KARTI,0_Yontem_Kaynak,Sunumda yerel bağlamı açıklar.,Tamam
Alan ve üretim verisi,Ürün bazlı alan (da) ve üretim (ton) doğrudan ham dosyadan alındı.,Verim = üretim / alan,2024-İLÇE MERKEZİ.xlsx / Tarla-Sebze-Meyve sayfaları,3_Urun_Referans,En güçlü veri katmanı budur.,Tamam
Arazi dağılımı,"Toplam tarım alanı, kıraç alan, devlet/halk sulaması, toplam sulanan alan kullanıldı.",Aktif alan ile ham toplam tarım alanı karşılaştırıldı.,2024-İLÇE MERKEZİ.xlsx / ARAZİ DAĞILIMI,15_Alan_Denge_SuluKirac,Ekilmeyen/model dışı alan farkı görünür yapıldı.,Tamam
Aylık ETc,Her ürünün yıllık ETc değeri aylık pay vektörü ile 12 aya dağıtıldı.,ETc_ay = ETc_yillik × aylık pay,Bitki su tüketimi görselleri + ürün referansı,4_Urun_Aylik_SuButcesi,600 sınıflık bitki su tüketimi notu yıllık→aylık mantıkla karşılandı.,Tamam
Efektif yağış,Yağışın bitki tarafından kullanılan kısmı aylık bazda hesaplandı.,"Efektif yağış = 0,80 × aylık yağış",MGM/Niğde proxy + hoca notu,1_Meteoroloji_2024 / 4_Urun_Aylik_SuButcesi,"min(aylık ETc, 0,80×yağış)",Tamam
Net sulama,Kök bölgesine gitmesi gereken aylık su hesaplandı.,"Net = MAX(ETc - Efektif yağış, 0)",Aylık su bütçesi,4_Urun_Aylik_SuButcesi,Negatif ihtiyaç 0'a çekildi.,Tamam
Tarla içi randıman,Sulama yöntemine bağlı uygulama verimi ayrıldı.,"Damla=0,90; Yağmurlama=0,75; Karık=0,60",Hoca notu + teknik kabul,2_Randiman_Katsayi,Tarla içi sistem kayıpları görünür yapıldı.,Tamam
İletim randımanı,Açık/kapalı şebeke kayıpları ayrı ele alındı.,"Açık=0,85; Kapalı=0,95",Hoca notu + teknik kabul,2_Randiman_Katsayi,Şebeke tipi değişirse brüt çekiş değişir.,Tamam
Toplam randıman,Sistem toplam verimi ile brüt su hesaplandı.,Toplam = iletim × tarla içi randıman,Randıman ayrımı,2_Randiman_Katsayi / 3_Urun_Referans,Brüt su hesabının çekirdeği.,Tamam
Brüt şebeke suyu,Baraj/şebekeden çekilecek aylık ve yıllık su hesaplandı.,Brüt = Net / Toplam randıman,Ürün ve yöntem bazlı,4_Urun_Aylik_SuButcesi / 11_IlceMerkezi_Toplam_Su_Ozeti,Asıl rezerv planlama göstergesi.,Tamam
Pik ay,Aylık brüt toplamın en yüksek olduğu ay belirlendi.,Pik ay = MAX(aylık brüt çekiş),Aylık toplamlar,11_IlceMerkezi_Toplam_Su_Ozeti,Rezerv planlaması için kritik.,Tamam
Temsilî parsel yaklaşımı,Gerçek kadastral parsel olmadığından her aktif ürün alanı bir temsilî parsel kabul edildi.,parsel_id ↔ aktif ürün alanı,Ürün bazlı alanlar,5_Parsel_Proxy,Arayüzde/raporda parsel no görünür yapıldı.,Tamam
Her parselde her ürün,Her temsilî parsel alanında tüm aktif ürünler denendi.,Parsel alanı × aday ürün m3/da / ton/da,Parsel+ürün matrisi,6_ParselxUrun_Kota,Hocanın 'her parselde her ürün' notu karşılandı.,Tamam
Karma sulama,Aynı parsel içinde farklı yöntem oranları test edildi.,η_tarla = Σ(pay × yöntem randımanı),Hoca notu,8_Karma_Sulama_Senaryo,%30/%40/%30 gibi kombinasyonlar eklendi.,Tamam
Yağmur-sulama ve kayıp ayrımı,"Yağmur katkısı, net sulama, iletim kaybı ve tarla içi kayıp ayrıldı.",Brüt→alana ulaşan→net zinciri,Aylık toplamlar,16_Aylik_Kayip_Analizi,'Yağmur mu sulama mı?' sorusuna direkt cevap verir.,Tamam
