Bahçeli 2024 Profesyonel Parsel-Ürün Su Bütçesi ve Su Kotası Modeli,,,,,,
"Bu sürüm, Bahçeli ham üretim tablolarını ana veri kabul eder; aylık su bütçesi tarafında ise Niğde 2024 meteoroloji proxy verisi, bitki su tüketimi görsellerindeki ortak ürün referansları ve hocanın el yazısı notlarındaki kurallar birlikte kullanılmıştır. Bu nedenle alan ve üretim kalemleri doğrudan Bahçeli verisidir; ET0/ETc, efektif yağış, randıman ve brüt su çekişi ise model hesaplarıdır.",,,,,,
Bileşen,Kullanılan veri,Kaynak dosya,Bahçeli için kullanım,Formül / mantık,Hoca notu ile ilişkisi,Not
Ham ürün alanı ve üretim,2024 Bahçeli ham ürün tabloları,2024-BAHÇELİ.xlsx,Aktif ürün alanları ve üretim miktarları alındı,verim = üretim / alan,Mevcut deseni net görmek için,31 aktif ürün-parsel proxy üretildi
Meteoroloji 2024,"Aylık sıcaklık, yağış, rüzgâr, güneşlenme, solar radyasyon ve ET0 proxy",Bahçeli profesyonel workbook / Niğde proxy kaynakları,Bahçeli için aynı Niğde 2024 iklim proxy seti kullanıldı,"Efektif yağış = 0,80 × yağış",Aylık su tüketimi ve yağış katkısı istendi,Saha bazlı ayrı meteoroloji gelirse güncellenebilir
Ürün yıllık ETc ve aylık dağılım,Bahçeli ürün setindeki her aktif ürün için yıllık ETc referansı ve aylık dağılım katsayıları,bitki su tüketimi.zip görselleri + hocanın el yazısı notları + benzeşim/proxy kayıtları,Ortak ürünler için ETc referansı atandı; ayrı satırı olmayan ürünlerde aynı familya veya benzer ürün benzeşimi açıkça notlandı,ETc_ay = ET0_proxy × Kc_ölçekli; yıllık toplam ile aylık toplam birbirini kontrol eder,Bitki gelişim dönemine göre aylık dağılım ve ürün bazlı dikkat noktası,AYVA=ARMUT benzeşimi; proxy kullanılan ürünler 19_Urun_Girdi_Durumu sayfasında ayrıca listelendi
Sulama randımanı,"Damla, yağmurlama, karık ve açık/kapalı şebeke katsayıları",2_Randiman_Katsayi mantığı,Net sudan brüt baraj çekişine geçildi,Brüt = Net / (iletim × tarla içi),Kayıpların görünür olması istendi,"Açık şebeke ana kabul, kapalı sistem alternatif"
Parsel proxy yaklaşımı,Her aktif ürün alanı bir temsilî parsel kabul edildi,Bahçeli ham ürün tabloları,31 aktif alan → 31 parsel proxy,Su kotası = aynı ürünün yıllık brüt m3/da × alan,Her parselde her ürün denensin yaklaşımına temel,Gerçek kadastral parsel gelirse güçlenir
Aylık pik ay,Aylık brüt çekiş toplamları,4_Urun_Aylik_SuButcesi,Haziran pik ay olarak bulundu,Pik ay = MAX(aylık toplam brüt),Rezerv ve planlama için kritik,Bahçeli mevcut desen için hesaplandı
Alternatif desenler,"Parsel×ürün matrisi, %50-%50 desenler, karma sulama","6, 8, 9 ve 10. sayfalar",Su kotasına göre uygun alternatifler listelendi,Feasible koşul = toplam brüt ≤ parsel kotası,Her ay / her ürün için alternatif üretme talebi,Öneri özeti karar verici kısa listesidir
Toplam randıman,Toplam sistem verimi,Toplam = iletim randımanı × tarla içi randıman,Randıman ayrımı,2_Randiman_Katsayi / 3_Urun_Referans,Brüt çekiş buradan hesaplanır,Tamam
Brüt baraj çekişi,Barajdan fiilen çekilecek su,Brüt = Net / Toplam randıman,Ürün ve yöntem bazlı,3_Urun_Referans / 4_Urun_Aylik_SuButcesi,Aylık ve yıllık verildi,Tamam
Parsel su kotası,Mevcut desenin aynı parselde tam sulama altındaki yıllık brüt ihtiyacı,Kota toplam = alan × mevcut ürün brüt m3/da,Parsel proxy,5_Parsel_Proxy,Karşılaştırma referansı,Tamam
Kota altında verim,Su kısıtı altında beklenen verim,"Yield oranı = MAX(0, 1 - Ky × (1-ETa/ETm))",Doorenbos-Kassam mantığı,6_ParselxUrun_Kota,Profesyonel senaryo mantığı,Tamam
Karma sulama yöntemi,Aynı parselde birden fazla yöntem,Ağırlıklı tarla içi randıman = Σ(oransal pay × yöntem randımanı),Hoca notu,8_Karma_Sulama_Senaryo,%30/%40/%30 örnekleri eklendi,Tamam
Meteorolojik girdi,"Sıcaklık, nem, rüzgâr, güneşlenme, radyasyon, yağış ve ET0 proxy",2024_niğde.zip + 2026031321D2.zip + 20260313E4EB.zip + 202603137DF2.zip,Niğde istasyonu aylık serileri Bahçeli için iklim proxy olarak işlendi,1_Meteoroloji_2024,Ham hava verisi görünür hale getirildi; doğrudan Bahçeli istasyonu değildir,Tamam
DETAYLI AÇIKLAMA VE KULLANILAN FORMÜLLER,,,,,,
"Bu blok, dosyanın tamamında kullanılan ana hesap zincirini açıklar. Hocanın notlarında vurgulanan aylık su bütçesi, efektif yağış, sulama randımanı, açık/kapalı şebeke ve parsel bazlı öneri mantığı bu metodoloji üzerine kurulmuştur.",,,,,,
Başlık / sütun grubu,"Bu veri neyi ifade eder, nereden alındı?",Kullanılan kaynak / dosya,Formül / hesap mantığı,Bu bilgi neden gerekli? / kontrol ve sınır,,
Sayfanın amacı,"Bu sayfa tüm modelin özet yöntem haritasıdır. Her ana değişkenin hangi veri kaynağından geldiği, hangi formülle türetildiği ve hangi çalışma sayfasında kullanıldığı burada ilk bakışta görülebilir.","2024-BAHÇELİ.xlsx, meteoroloji ZIP dosyaları, bitki su tüketimi görselleri ve hocanın el yazısı notları birlikte kullanıldı.",Bu sayfa hesap yapmaz; diğer sayfalardaki formül mantığını tek yerde toplar.,Hocaya dosyanın mantığını anlatırken ilk açılması gereken sayfalardan biridir.,,
Gözlenen verim,Mevcut durum verimi ürünün 2024 yılında Bahçeli'da gözlenen performansını verir. Sonraki senaryolarda beklenen üretim hesabının temel referansıdır.,2024-BAHÇELİ.xlsx içindeki alan ve üretim değerleri,Gözlenen verim (ton/da) = Üretim (ton) / Alan (da),Bir ürün parselde önerildiğinde üretimi hesaplamak için önce birim alan verimini bilmek gerekir.,,
