Sazlıca 2024 Profesyonel Parsel-Ürün Su Kotası Modeli - Güncellenmiş Yöntem,,,,,,
"Bu sürümde eksikler giderildi: aylık ET0/ETc/efektif yağış/net-brüt sulama bütçesi, meteorolojik girdi tablosu, iletim ve tarla içi randıman ayrımı, parsel içi karma sulama senaryoları ve hocanın notlarına uyum kontrolü eklendi.",,,,,,
Başlık,Açıklama,Kullanılan formül / mantık,Ana kaynak,İlgili sayfa,Not,Durum
Verim hesabı,Gözlenen verim ton/da,Verim = Üretim (ton) / Alan (da),2024-SAZLICA.xlsx,3_Urun_Referans,Mevcut durum performansı,Tamam
Ağaç/fide sayısı,Dekara bitki adedi,Bitki adedi/da = 1000 / (sıra arası × sıra üzeri),Teknik varsayım + ürün tipi,3_Urun_Referans,Ağaç/fide yoğunluğu,Tamam
Aylık ETc,Her ay için bitki su tüketimi,ETc_ay = ET0_proxy_ay × Kc_ölçekli_ay,Meteoroloji ZIP + ürün ETc yıllık,4_Urun_Aylik_SuButcesi,Yıllık ETc'ye ölçeklenir,Tamam
Efektif yağış,Yağışın bitki tarafından kullanılabilen kısmı,"Efektif yağış = 0,80 × aylık yağış",Meteoroloji ZIP + hoca notu,1_Meteoroloji_2024 / 4_Urun_Aylik_SuButcesi,CropWat yaklaşımına yakın basit katsayı,Tamam
Net sulama,Kök bölgesine verilmesi gereken su,"Net = MAX(ETc - Efektif yağış, 0)",Aylık su bütçesi,4_Urun_Aylik_SuButcesi,Aylık bazda hesaplandı,Tamam
Tarla içi randıman,Uygulama yöntemine bağlı verim,"Damla=0,90; Yağmurlama=0,75; Karık=0,60",Hoca notu + genel teknik kabul,2_Randiman_Katsayi,Artık ayrı gösteriliyor,Tamam
İletim randımanı,Şebeke/iletim kayıpları,"Açık şebeke=0,85; Kapalı şebeke=0,95",Hoca notu + genel teknik kabul,2_Randiman_Katsayi,Artık ayrı gösteriliyor,Tamam
Toplam randıman,Toplam sistem verimi,Toplam = iletim randımanı × tarla içi randıman,Randıman ayrımı,2_Randiman_Katsayi / 3_Urun_Referans,Brüt çekiş buradan hesaplanır,Tamam
Brüt baraj çekişi,Barajdan fiilen çekilecek su,Brüt = Net / Toplam randıman,Ürün ve yöntem bazlı,3_Urun_Referans / 4_Urun_Aylik_SuButcesi,Aylık ve yıllık verildi,Tamam
Parsel su kotası,Mevcut desenin aynı parselde tam sulama altındaki yıllık brüt ihtiyacı,Kota toplam = alan × mevcut ürün brüt m3/da,Parsel proxy,5_Parsel_Proxy,Karşılaştırma referansı,Tamam
Kota altında verim,Su kısıtı altında beklenen verim,"Yield oranı = MAX(0, 1 - Ky × (1-ETa/ETm))",Doorenbos-Kassam mantığı,6_ParselxUrun_Kota,Profesyonel senaryo mantığı,Tamam
Karma sulama yöntemi,Aynı parselde birden fazla yöntem,Ağırlıklı tarla içi randıman = Σ(oransal pay × yöntem randımanı),Hoca notu,8_Karma_Sulama_Senaryo,%30/%40/%30 örnekleri eklendi,Tamam
Meteorolojik girdi,"Sıcaklık, nem, rüzgâr, güneşlenme, radyasyon, yağış, ET0 proxy",2024 Niğde istasyon verileri aylık olarak işlendi,MGM HTML ZIP dosyaları,1_Meteoroloji_2024,Ham hava verisi görünür hale getirildi,Tamam
DETAYLI AÇIKLAMA VE KULLANILAN FORMÜLLER,,,,,,
"Bu blok, dosyanın tamamında kullanılan ana hesap zincirini açıklar. Hocanın notlarında vurgulanan aylık su bütçesi, efektif yağış, sulama randımanı, açık/kapalı şebeke ve parsel bazlı öneri mantığı bu metodoloji üzerine kurulmuştur.",,,,,,
Başlık / sütun grubu,"Bu veri neyi ifade eder, nereden alındı?",Kullanılan kaynak / dosya,Formül / hesap mantığı,Bu bilgi neden gerekli? / kontrol ve sınır,,
Sayfanın amacı,"Bu sayfa tüm modelin özet yöntem haritasıdır. Her ana değişkenin hangi veri kaynağından geldiği, hangi formülle türetildiği ve hangi çalışma sayfasında kullanıldığı burada ilk bakışta görülebilir.","2024-SAZLICA.xlsx, meteoroloji ZIP dosyaları, bitki su tüketimi görselleri ve hocanın el yazısı notları birlikte kullanıldı.",Bu sayfa hesap yapmaz; diğer sayfalardaki formül mantığını tek yerde toplar.,Hocaya dosyanın mantığını anlatırken ilk açılması gereken sayfalardan biridir.,,
